"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"4",1,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence",8,"IN",6.6
"4",1,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Pecan and Apple Cake","Raspberry Chocolate Cake",1,"STAR BAKER",6.6
"4",1,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake",3,"IN",6.6
"4",1,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes","Lemon and Poppy Seed Cake","Chocolate Monster",5,"IN",6.6
"4",1,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Giant Jam Sandwich","Secret Squirrel Cake",7,"IN",6.6
"4",1,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire","Timperley Early Cake","Thyme 'Wildwood' Cake",2,"IN",6.6
"4",1,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake",12,"IN",6.6
"4",1,"Howard","Middleton",51,"Council Worker","Sheffield","Passion Fruit and Coconut Cake","Black Forest Revisited",6,"IN",6.6
"4",1,"Kimberley","Wilson",30,"Psychologist","London","Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake",10,"IN",6.6
"4",1,"Deborah","Manger",51,"Dentist","Peterborough","Pineapple Cake","'Coffee Time'",9,"IN",6.6
"4",1,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire","Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake",13,"OUT",6.6
"4",1,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Strawberries and Cream Cake","Almond and Espresso Chocolate Cake",4,"IN",6.6
"4",2,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",9,"IN",6.65
"4",2,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Twisty Rye Bread Sticks","Tribute Loaf",5,"IN",6.65
"4",2,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes","Rosemary & Raisin Breadsticks","Sage & Garlic Plait",6,"IN",6.65
"4",2,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Mexican Breadsticks","White Chocolate and Orange Peacock Bread",3,"STAR BAKER",6.65
"4",2,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire","Grissini with Salt","Roast Tomato Bread",12,"OUT",6.65
"4",2,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Mediterranean Breadsticks with Oregano","Double Plaited Loaf",4,"IN",6.65
"4",2,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Rosemary and Parmesan Grissini","Harvest Crown",7,"IN",6.65
"4",2,"Kimberley","Wilson",30,"Psychologist","London","Nigella Seed and Parmesan Breadsticks","Peace Bread",1,"IN",6.65
"4",2,"Deborah","Manger",51,"Dentist","Peterborough","Fennel & Chilli Breadsticks","Walnut Fleur Loaf",8,"IN",6.65
"4",2,"Howard","Middleton",51,"Council Worker","Sheffield","Moroccan Breadsticks","Picasso Sun Bread",10,"IN",6.65
"4",2,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath",11,"IN",6.65
